codigo_ibge,nome_municipio,uf,uf_codigo,codigo_ibge_6,nome_norm,populacao,pib_total,taxa_desocupacao,total_internacoes,custo_total_internacoes,total_obitos_sim,pib_per_capita_calculado,taxa_internacao_por_10k,temp_max_cuiaba_c,temp_max_brasil_c,umidade_minima_pct,max_dias_consecutivos_40c,max_focos_calor_mt,meses_em_crise
5300108,Brasília,DF,53.0,530010,BRASILIA,3009996.0,286943782.0,9.5875,388264.0,620276606.86,15878.0,95330.2868176569,1289.9153354356615,42.6,42.6,10.0,7.0,2124.0,2
5200050,Abadia de Goiás,GO,52.0,520005,ABADIA DE GOIAS,,,5.75,2512.0,4168796.34,116.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200100,Abadiânia,GO,52.0,520010,ABADIANIA,,,5.75,1734.0,2962815.32,114.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200134,Acreúna,GO,52.0,520013,ACREUNA,,,5.75,3038.0,4512199.54,152.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200159,Adelândia,GO,52.0,520015,ADELANDIA,,,5.75,312.0,934937.5,29.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200175,Água Fria de Goiás,GO,52.0,520017,AGUA FRIA DE GOIAS,,,5.75,604.0,763281.52,41.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200209,Água Limpa,GO,52.0,520020,AGUA LIMPA,,,5.75,274.0,392265.84,22.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200258,Águas Lindas de Goiás,GO,52.0,520025,AGUAS LINDAS DE GOIAS,,,5.75,23104.0,30867886.38,957.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200308,Alexânia,GO,52.0,520030,ALEXANIA,,,5.75,6110.0,6614733.54,227.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200506,Aloândia,GO,52.0,520050,ALOANDIA,,,5.75,144.0,305479.62,17.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200555,Alto Horizonte,GO,52.0,520055,ALTO HORIZONTE,,,5.75,1132.0,1056711.98,39.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200605,Alto Paraíso de Goiás,GO,52.0,520060,ALTO PARAISO DE GOIAS,,,5.75,1382.0,1275784.78,43.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200803,Alvorada do Norte,GO,52.0,520080,ALVORADA DO NORTE,,,5.75,2144.0,1719397.48,67.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200829,Amaralina,GO,52.0,520082,AMARALINA,,,5.75,404.0,659238.58,32.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200852,Americano do Brasil,GO,52.0,520085,AMERICANO DO BRASIL,,,5.75,1270.0,1557663.5,59.0,,,42.6,42.6,10.0,7.0,2124.0,2
5200902,Amorinópolis,GO,52.0,520090,AMORINOPOLIS,,,5.75,624.0,703564.54,27.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201108,Anápolis,GO,52.0,520110,ANAPOLIS,,,5.75,43534.0,83682269.12,2948.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201207,Anhanguera,GO,52.0,520120,ANHANGUERA,,,5.75,122.0,247990.38,13.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201306,Anicuns,GO,52.0,520130,ANICUNS,,,5.75,2888.0,4666783.1,154.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201405,Aparecida de Goiânia,GO,52.0,520140,APARECIDA DE GOIANIA,,,5.75,74078.0,144811784.2,3069.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201454,Aparecida do Rio Doce,GO,52.0,520145,APARECIDA DO RIO DOCE,,,5.75,324.0,308325.5,15.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201504,Aporé,GO,52.0,520150,APORE,,,5.75,320.0,677752.38,37.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201603,Araçu,GO,52.0,520160,ARACU,,,5.75,794.0,1146558.34,45.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201702,Aragarças,GO,52.0,520170,ARAGARCAS,,,5.75,2866.0,3728470.12,158.0,,,42.6,42.6,10.0,7.0,2124.0,2
5201801,Aragoiânia,GO,52.0,520180,ARAGOIANIA,,,5.75,1228.0,2024696.42,93.0,,,42.6,42.6,10.0,7.0,2124.0,2
5202155,Araguapaz,GO,52.0,520215,ARAGUAPAZ,,,5.75,710.0,1295066.94,58.0,,,42.6,42.6,10.0,7.0,2124.0,2
5202353,Arenópolis,GO,52.0,520235,ARENOPOLIS,,,5.75,494.0,550073.76,24.0,,,42.6,42.6,10.0,7.0,2124.0,2
5202502,Aruanã,GO,52.0,520250,ARUANA,,,5.75,1666.0,1917309.82,60.0,,,42.6,42.6,10.0,7.0,2124.0,2
5202601,Aurilândia,GO,52.0,520260,AURILANDIA,,,5.75,544.0,696649.62,42.0,,,42.6,42.6,10.0,7.0,2124.0,2
5202809,Avelinópolis,GO,52.0,520280,AVELINOPOLIS,,,5.75,438.0,649069.62,24.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203104,Baliza,GO,52.0,520310,BALIZA,,,5.75,278.0,489560.06,18.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203203,Barro Alto,GO,52.0,520320,BARRO ALTO,,,5.75,1860.0,2272284.34,58.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203302,Bela Vista de Goiás,GO,52.0,520330,BELA VISTA DE GOIAS,,,5.75,5462.0,6300293.72,213.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203401,Bom Jardim de Goiás,GO,52.0,520340,BOM JARDIM DE GOIAS,,,5.75,1178.0,2071401.5,95.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203500,Bom Jesus de Goiás,GO,52.0,520350,BOM JESUS DE GOIAS,,,5.75,5760.0,4832758.74,173.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203559,Bonfinópolis,GO,52.0,520355,BONFINOPOLIS,,,5.75,1182.0,1912505.9,70.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203575,Bonópolis,GO,52.0,520357,BONOPOLIS,,,5.75,608.0,536750.3200000001,22.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203609,Brazabrantes,GO,52.0,520360,BRAZABRANTES,,,5.75,690.0,1319157.4,28.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203807,Britânia,GO,52.0,520380,BRITANIA,,,5.75,1336.0,1378589.86,52.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203906,Buriti Alegre,GO,52.0,520390,BURITI ALEGRE,,,5.75,1468.0,1435374.76,101.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203939,Buriti de Goiás,GO,52.0,520393,BURITI DE GOIAS,,,5.75,442.0,815588.5,24.0,,,42.6,42.6,10.0,7.0,2124.0,2
5203962,Buritinópolis,GO,52.0,520396,BURITINOPOLIS,,,5.75,160.0,281967.28,21.0,,,42.6,42.6,10.0,7.0,2124.0,2
5204003,Cabeceiras,GO,52.0,520400,CABECEIRAS,,,5.75,940.0,1459003.72,61.0,,,42.6,42.6,10.0,7.0,2124.0,2
5204102,Cachoeira Alta,GO,52.0,520410,CACHOEIRA ALTA,,,5.75,2086.0,1798923.4,94.0,,,42.6,42.6,10.0,7.0,2124.0,2
5204201,Cachoeira de Goiás,GO,52.0,520420,CACHOEIRA DE GOIAS,,,5.75,258.0,437779.94,11.0,,,42.6,42.6,10.0,7.0,2124.0,2
5204250,Cachoeira Dourada,GO,52.0,520425,CACHOEIRA DOURADA,,,5.75,1230.0,1576138.34,69.0,,,42.6,42.6,10.0,7.0,2124.0,2
5204300,Caçu,GO,52.0,520430,CACU,,,5.75,2492.0,2332553.48,141.0,,,42.6,42.6,10.0,7.0,2124.0,2
5204409,Caiapônia,GO,52.0,520440,CAIAPONIA,,,5.75,3910.0,3270994.36,139.0,,,42.6,42.6,10.0,7.0,2124.0,2
5204508,Caldas Novas,GO,52.0,520450,CALDAS NOVAS,,,5.75,10836.0,15290924.5,681.0,,,42.6,42.6,10.0,7.0,2124.0,2
5204557,Caldazinha,GO,52.0,520455,CALDAZINHA,,,5.75,490.0,898667.02,33.0,,,42.6,42.6,10.0,7.0,2124.0,2
