ano_mes,n_boletins,municipios_afetados,obitos,desaparecidos,desalojados,pessoas_abrigos,pessoas_afetadas,nivel_guaiba_m,ipca_variacao_mensal,ipca_localidade,ipca_periodo_original,taxa_desocupacao,desocupacao_localidade,desocupacao_periodo_original,em_crise
2023-06,0,,,,,,,,-0.08,Brasil,202306,5.3,Rio Grande do Sul,202302,
2023-07,0,,,,,,,,0.12,Brasil,202307,5.4,Rio Grande do Sul,202303,
2023-08,0,,,,,,,,0.23,Brasil,202308,5.4,Rio Grande do Sul,202303,
2023-09,0,,,,,,,,0.26,Brasil,202309,5.4,Rio Grande do Sul,202303,
2023-10,0,,,,,,,,0.24,Brasil,202310,5.2,Rio Grande do Sul,202304,
2023-11,0,,,,,,,,0.28,Brasil,202311,5.2,Rio Grande do Sul,202304,
2023-12,0,,,,,,,,0.56,Brasil,202312,5.2,Rio Grande do Sul,202304,
2024-01,0,,,,,,,,0.42,Brasil,202401,5.8,Rio Grande do Sul,202401,
2024-02,0,,,,,,,,0.83,Brasil,202402,5.8,Rio Grande do Sul,202401,
2024-03,0,,,,,,,,0.16,Brasil,202403,5.8,Rio Grande do Sul,202401,
2024-04,0,,,,,,,,0.38,Brasil,202404,5.9,Rio Grande do Sul,202402,
2024-05,9,461.0,154.0,128.0,540192.0,77199.0,2281830.0,5.21,0.46,Brasil,202405,5.9,Rio Grande do Sul,202402,True
2024-06,0,,,,,,,,0.21,Brasil,202406,5.9,Rio Grande do Sul,202402,
2024-07,0,,,,,,,,0.38,Brasil,202407,5.1,Rio Grande do Sul,202403,
2024-08,0,,,,,,,,-0.02,Brasil,202408,5.1,Rio Grande do Sul,202403,
2024-09,0,,,,,,,,0.44,Brasil,202409,5.1,Rio Grande do Sul,202403,
2024-10,0,,,,,,,,0.56,Brasil,202410,4.5,Rio Grande do Sul,202404,
2024-11,0,,,,,,,,0.39,Brasil,202411,4.5,Rio Grande do Sul,202404,
2024-12,0,,,,,,,,0.52,Brasil,202412,4.5,Rio Grande do Sul,202404,
2025-01,0,,,,,,,,0.16,Brasil,202501,5.3,Rio Grande do Sul,202501,
2025-02,0,,,,,,,,1.31,Brasil,202502,5.3,Rio Grande do Sul,202501,
2025-03,0,,,,,,,,0.56,Brasil,202503,5.3,Rio Grande do Sul,202501,
2025-04,1,478.0,184.0,25.0,,,,,0.43,Brasil,202504,4.3,Rio Grande do Sul,202502,True
2025-05,0,,,,,,,,0.26,Brasil,202505,4.3,Rio Grande do Sul,202502,
2025-06,0,,,,,,,,0.24,Brasil,202506,4.3,Rio Grande do Sul,202502,
