codigo_ibge,nome_municipio,uf,uf_codigo,codigo_ibge_6,nome_norm,populacao,pib_total,taxa_desocupacao,total_internacoes,custo_total_internacoes,total_obitos_sim,pib_per_capita_calculado,taxa_internacao_por_10k,pico_obitos_rs,pico_desalojados_rs,pico_pessoas_afetadas_rs,max_nivel_guaiba_m,meses_em_crise
4300034,Aceguá,RS,43.0,430003,ACEGUA,4251.0,458226.0,5.325,860.0,971121.66,36.0,107792.51940719831,2023.053399200188,184.0,540192.0,2281830.0,5.21,2
4300059,Água Santa,RS,43.0,430005,AGUA SANTA,4003.0,547413.0,5.325,554.0,922992.16,28.0,136750.68698476144,1383.962028478641,184.0,540192.0,2281830.0,5.21,2
4300109,Agudo,RS,43.0,430010,AGUDO,16347.0,667877.0,5.325,3676.0,4784339.46,179.0,40856.24273567015,2248.7306539426195,184.0,540192.0,2281830.0,5.21,2
4300208,Ajuricaba,RS,43.0,430020,AJURICABA,6843.0,521060.0,5.325,1054.0,2098312.98,73.0,76144.96565833698,1540.2601198304835,184.0,540192.0,2281830.0,5.21,2
4300307,Alecrim,RS,43.0,430030,ALECRIM,6219.0,162073.0,5.325,1774.0,2759111.06,99.0,26060.94227367744,2852.548641260653,184.0,540192.0,2281830.0,5.21,2
4300406,Alegrete,RS,43.0,430040,ALEGRETE,74285.0,3079886.0,5.325,13880.0,22477262.06,791.0,41460.40250387023,1868.4795046106208,184.0,540192.0,2281830.0,5.21,2
4300455,Alegria,RS,43.0,430045,ALEGRIA,3705.0,156623.0,5.325,640.0,1351465.9,46.0,42273.41430499325,1727.395411605938,184.0,540192.0,2281830.0,5.21,2
4300471,Almirante Tamandaré do Sul,RS,43.0,430047,ALMIRANTE TAMANDARE DO SUL,2007.0,276412.0,5.325,354.0,729078.88,15.0,137723.96611858494,1763.8266068759342,184.0,540192.0,2281830.0,5.21,2
4300505,Alpestre,RS,43.0,430050,ALPESTRE,7235.0,196384.0,5.325,2254.0,2179011.7,77.0,27143.60746371804,3115.411195577056,184.0,540192.0,2281830.0,5.21,2
4300554,Alto Alegre,RS,43.0,430055,ALTO ALEGRE,1837.0,106142.0,5.325,148.0,273623.74,10.0,57780.076211213935,805.6614044637997,184.0,540192.0,2281830.0,5.21,2
4300570,Alto Feliz,RS,43.0,430057,ALTO FELIZ,3145.0,161549.0,5.325,440.0,918004.18,27.0,51366.93163751988,1399.0461049284577,184.0,540192.0,2281830.0,5.21,2
4300604,Alvorada,RS,43.0,430060,ALVORADA,194061.0,3302273.0,5.325,29224.0,58588436.08,1640.0,17016.675169147846,1505.918242202194,184.0,540192.0,2281830.0,5.21,2
4300638,Amaral Ferrador,RS,43.0,430063,AMARAL FERRADOR,5384.0,147633.0,5.325,426.0,885858.46,44.0,27420.690936106985,791.2332838038633,184.0,540192.0,2281830.0,5.21,2
4300646,Ametista do Sul,RS,43.0,430064,AMETISTA DO SUL,7813.0,177772.0,5.325,2530.0,3427647.56,72.0,22753.359784973763,3238.1927556636374,184.0,540192.0,2281830.0,5.21,2
4300661,André da Rocha,RS,43.0,430066,ANDRE DA ROCHA,1156.0,193090.0,5.325,182.0,328793.44,10.0,167032.87197231833,1574.39446366782,184.0,540192.0,2281830.0,5.21,2
4300703,Anta Gorda,RS,43.0,430070,ANTA GORDA,6080.0,322293.0,5.325,1194.0,1158132.68,58.0,53008.71710526316,1963.8157894736844,184.0,540192.0,2281830.0,5.21,2
4300802,Antônio Prado,RS,43.0,430080,ANTONIO PRADO,13332.0,797513.0,5.325,1978.0,2409785.74,124.0,59819.45694569457,1483.6483648364838,184.0,540192.0,2281830.0,5.21,2
4300851,Arambaré,RS,43.0,430085,ARAMBARE,4215.0,285089.0,5.325,554.0,1331751.78,44.0,67636.7734282325,1314.35349940688,184.0,540192.0,2281830.0,5.21,2
4300877,Araricá,RS,43.0,430087,ARARICA,8831.0,236432.0,5.325,1476.0,2940967.44,61.0,26772.9588948024,1671.3848941229758,184.0,540192.0,2281830.0,5.21,2
4300901,Aratiba,RS,43.0,430090,ARATIBA,6618.0,946972.0,5.325,1190.0,1567713.92,58.0,143090.35962526442,1798.1263221517074,184.0,540192.0,2281830.0,5.21,2
