ano_mes,n_boletins,municipios_emergencia,pessoas_afetadas_mil,familias_afetadas_mil,cota_rio_negro_m,ipca_variacao_mensal,ipca_localidade,ipca_periodo_original,taxa_desocupacao,desocupacao_localidade,desocupacao_periodo_original,em_crise
2022-09,0,,,,,-0.09,Rio Branco (AC),202209,9.4,Amazonas,202203,
2022-10,0,,,,,0.44,Rio Branco (AC),202210,10.1,Amazonas,202204,
2022-11,0,,,,,0.12,Rio Branco (AC),202211,10.1,Amazonas,202204,
2022-12,0,,,,,1.32,Rio Branco (AC),202212,10.1,Amazonas,202204,
2023-01,0,,,,,0.67,Rio Branco (AC),202301,10.5,Amazonas,202301,
2023-02,0,,,,,0.44,Rio Branco (AC),202302,10.5,Amazonas,202301,
2023-03,0,,,,,0.54,Rio Branco (AC),202303,10.5,Amazonas,202301,
2023-04,0,,,,,0.64,Rio Branco (AC),202304,9.7,Amazonas,202302,
2023-05,0,,,,,0.29,Rio Branco (AC),202305,9.7,Amazonas,202302,
2023-06,0,,,,,-0.5,Rio Branco (AC),202306,9.7,Amazonas,202302,
2023-07,0,,,,,0.31,Rio Branco (AC),202307,9.6,Amazonas,202303,
2023-08,0,,,,,0.44,Rio Branco (AC),202308,9.6,Amazonas,202303,
2023-09,1,55.0,,,,0.46,Rio Branco (AC),202309,9.6,Amazonas,202303,True
2023-10,5,62.0,633.0,158.0,12.7,0.3,Rio Branco (AC),202310,8.8,Amazonas,202304,True
2023-11,1,62.0,598.0,150.0,,0.04,Rio Branco (AC),202311,8.8,Amazonas,202304,True
2023-12,0,,,,,0.9,Rio Branco (AC),202312,8.8,Amazonas,202304,
2024-01,0,,,,,0.63,Rio Branco (AC),202401,9.8,Amazonas,202401,
2024-02,0,,,,,0.26,Rio Branco (AC),202402,9.8,Amazonas,202401,
2024-03,0,,,,,0.18,Rio Branco (AC),202403,9.8,Amazonas,202401,
2024-04,0,,,,,0.15,Rio Branco (AC),202404,8.0,Amazonas,202402,
2024-05,0,,,,,0.19,Rio Branco (AC),202405,8.0,Amazonas,202402,
2024-06,0,,,,,0.34,Rio Branco (AC),202406,8.0,Amazonas,202402,
2024-07,1,20.0,,,26.49,0.53,Rio Branco (AC),202407,8.2,Amazonas,202403,False
2024-08,1,53.0,,,,-0.21,Rio Branco (AC),202408,8.2,Amazonas,202403,True
2024-09,0,,,,,0.75,Rio Branco (AC),202409,8.2,Amazonas,202403,
2024-10,0,,,,,0.55,Rio Branco (AC),202410,8.3,Amazonas,202404,
2024-11,0,,,,,0.92,Rio Branco (AC),202411,8.3,Amazonas,202404,
2024-12,0,,,,,0.53,Rio Branco (AC),202412,8.3,Amazonas,202404,
