codigo_ibge,nome_municipio,uf,uf_codigo,codigo_ibge_6,nome_norm,populacao,pib_total,taxa_desocupacao,total_internacoes,custo_total_internacoes,total_obitos_sim,pib_per_capita_calculado,taxa_internacao_por_10k,max_municipios_emergencia,pico_pessoas_afetadas_mil,min_cota_rio_negro_m,meses_em_crise
1300029,Alvarães,AM,13.0,130002,ALVARAES,16938.0,217333.0,9.1125,3454.0,1773599.08,109.0,12831.08985712599,2039.2017947809657,62.0,633.0,12.7,5
1300060,Amaturá,AM,13.0,130006,AMATURA,11633.0,118872.0,9.1125,1730.0,849855.94,66.0,10218.51628986504,1487.1486289005416,62.0,633.0,12.7,5
1300086,Anamã,AM,13.0,130008,ANAMA,9981.0,138599.0,9.1125,5734.0,2160800.84,65.0,13886.283939485022,5744.915339144374,62.0,633.0,12.7,5
1300102,Anori,AM,13.0,130010,ANORI,18135.0,248435.0,9.1125,6648.0,3329233.82,118.0,13699.200441135925,3665.839536807279,62.0,633.0,12.7,5
1300144,Apuí,AM,13.0,130014,APUI,21971.0,297810.0,9.1125,3472.0,2041115.0,171.0,13554.685722088208,1580.2648946338354,62.0,633.0,12.7,5
1300201,Atalaia do Norte,AM,13.0,130020,ATALAIA DO NORTE,15920.0,184947.0,9.1125,2978.0,2334861.96,119.0,11617.273869346736,1870.603015075377,62.0,633.0,12.7,5
1300300,Autazes,AM,13.0,130030,AUTAZES,46641.0,506341.0,9.1125,6148.0,5178260.86,337.0,10856.135160052314,1318.1535558843077,62.0,633.0,12.7,5
1300409,Barcelos,AM,13.0,130040,BARCELOS,17805.0,245622.0,9.1125,3660.0,2125541.7,215.0,13795.113732097723,2055.602358887953,62.0,633.0,12.7,5
1300508,Barreirinha,AM,13.0,130050,BARREIRINHA,34025.0,344890.0,9.1125,8530.0,4279290.1,259.0,10136.37031594416,2506.9801616458485,62.0,633.0,12.7,5
1300607,Benjamin Constant,AM,13.0,130060,BENJAMIN CONSTANT,41261.0,388781.0,9.1125,6830.0,4131994.08,326.0,9422.48127771988,1655.3161581154116,62.0,633.0,12.7,5
1300631,Beruri,AM,13.0,130063,BERURI,22842.0,211871.0,9.1125,3772.0,2081177.32,144.0,9275.501269591105,1651.3440154102093,62.0,633.0,12.7,5
1300680,Boa Vista do Ramos,AM,13.0,130068,BOA VISTA DO RAMOS,27052.0,182412.0,9.1125,3684.0,1894515.34,153.0,6743.013455567056,1361.821676770664,62.0,633.0,12.7,5
1300706,Boca do Acre,AM,13.0,130070,BOCA DO ACRE,39176.0,512796.0,9.1125,7264.0,3576546.94,335.0,13089.544619154583,1854.1964468041656,62.0,633.0,12.7,5
1300805,Borba,AM,13.0,130080,BORBA,34836.0,402131.0,9.1125,8532.0,4906594.32,323.0,11543.546905500058,2449.1904925938684,62.0,633.0,12.7,5
1300839,Caapiranga,AM,13.0,130083,CAAPIRANGA,14980.0,177894.0,9.1125,2390.0,1342352.56,53.0,11875.43391188251,1595.4606141522029,62.0,633.0,12.7,5
1300904,Canutama,AM,13.0,130090,CANUTAMA,18327.0,154316.0,9.1125,2284.0,1183474.44,81.0,8420.145141048726,1246.2487040977792,62.0,633.0,12.7,5
1301001,Carauari,AM,13.0,130100,CARAUARI,31383.0,370663.0,9.1125,8210.0,5586254.56,235.0,11810.94860274671,2616.066023006086,62.0,633.0,12.7,5
1301100,Careiro,AM,13.0,130110,CAREIRO,32289.0,395194.0,9.1125,8716.0,7967664.68,320.0,12239.276533804084,2699.371302920499,62.0,633.0,12.7,5
1301159,Careiro da Várzea,AM,13.0,130115,CAREIRO DA VARZEA,20081.0,413374.0,9.1125,1012.0,1618317.06,132.0,20585.329415865745,503.95896618694286,62.0,633.0,12.7,5
1301209,Coari,AM,13.0,130120,COARI,73403.0,3380325.0,9.1125,17688.0,13063534.66,758.0,46051.59189678896,2409.7107747639743,62.0,633.0,12.7,5
1301308,Codajás,AM,13.0,130130,CODAJAS,24627.0,531995.0,9.1125,5904.0,3237077.86,170.0,21602.1033824664,2397.368741625046,62.0,633.0,12.7,5
1301407,Eirunepé,AM,13.0,130140,EIRUNEPE,36027.0,568036.0,9.1125,6392.0,4529174.52,366.0,15766.952563355262,1774.2248868903878,62.0,633.0,12.7,5
1301506,Envira,AM,13.0,130150,ENVIRA,18062.0,215527.0,9.1125,3446.0,1711040.34,158.0,11932.620972206843,1907.8728822943197,62.0,633.0,12.7,5
1301605,Fonte Boa,AM,13.0,130160,FONTE BOA,28491.0,222773.0,9.1125,5784.0,3606413.98,187.0,7819.065669860658,2030.1147730862376,62.0,633.0,12.7,5
1301654,Guajará,AM,13.0,130165,GUAJARA,14356.0,177320.0,9.1125,1602.0,720526.0,104.0,12351.62998049596,1115.909724157147,62.0,633.0,12.7,5
1301704,Humaitá,AM,13.0,130170,HUMAITA,64390.0,860168.0,9.1125,6426.0,4210977.24,450.0,13358.720298182949,997.981052958534,62.0,633.0,12.7,5
1301803,Ipixuna,AM,13.0,130180,IPIXUNA,25792.0,216519.0,9.1125,8028.0,4139089.88,165.0,8394.81234491315,3112.593052109181,62.0,633.0,12.7,5
1301852,Iranduba,AM,13.0,130185,IRANDUBA,70248.0,1001862.0,9.1125,8314.0,9281242.66,608.0,14261.78681243594,1183.521239038834,62.0,633.0,12.7,5
1301902,Itacoatiara,AM,13.0,130190,ITACOATIARA,115218.0,2350463.0,9.1125,21462.0,19464034.44,983.0,20400.137131351003,1862.7297818049265,62.0,633.0,12.7,5
1301951,Itamarati,AM,13.0,130195,ITAMARATI,12150.0,135620.0,9.1125,3970.0,1751549.48,72.0,11162.139917695473,3267.4897119341563,62.0,633.0,12.7,5
1302009,Itapiranga,AM,13.0,130200,ITAPIRANGA,11090.0,152509.0,9.1125,2380.0,2333823.08,104.0,13751.938683498647,2146.077547339946,62.0,633.0,12.7,5
1302108,Japurá,AM,13.0,130210,JAPURA,9527.0,85809.0,9.1125,2012.0,873867.9,52.0,9006.92767922746,2111.8925160071376,62.0,633.0,12.7,5
1302207,Juruá,AM,13.0,130220,JURUA,11106.0,138074.0,9.1125,170.0,268658.62,73.0,12432.378894291374,153.07041238969927,62.0,633.0,12.7,5
1302306,Jutaí,AM,13.0,130230,JUTAI,28712.0,266377.0,9.1125,6640.0,3101992.92,173.0,9277.549456673169,2312.621900250766,62.0,633.0,12.7,5
1302405,Lábrea,AM,13.0,130240,LABREA,50040.0,625198.0,9.1125,4602.0,3216529.36,361.0,12493.96482813749,919.664268585132,62.0,633.0,12.7,5
1302504,Manacapuru,AM,13.0,130250,MANACAPURU,113042.0,1544675.0,9.1125,25206.0,21281409.28,1009.0,13664.611383379628,2229.790697262964,62.0,633.0,12.7,5
1302553,Manaquiri,AM,13.0,130255,MANAQUIRI,15902.0,311335.0,9.1125,3466.0,2768231.54,135.0,19578.35492390894,2179.6000503081373,62.0,633.0,12.7,5
1302603,Manaus,AM,13.0,130260,MANAUS,2327101.0,103281400.0,9.1125,417780.0,662082246.66,24401.0,44382.001468780254,1795.2809095952432,62.0,633.0,12.7,5
