municipio_id,municipio_nome,municipio_nome_normalizado
5000203,Água Clara,AGUA CLARA
5000252,Alcinópolis,ALCINOPOLIS
5000609,Amambai,AMAMBAI
5000708,Anastácio,ANASTACIO
5000807,Anaurilândia,ANAURILANDIA
5000856,Angélica,ANGELICA
5000906,Antônio João,ANTONIO JOAO
5001003,Aparecida do Taboado,APARECIDA DO TABOADO
5001102,Aquidauana,AQUIDAUANA
5001243,Aral Moreira,ARAL MOREIRA
5001508,Bandeirantes,BANDEIRANTES
5001904,Bataguassu,BATAGUASSU
5002001,Batayporã,BATAYPORA
5002100,Bela Vista,BELA VISTA
5002159,Bodoquena,BODOQUENA
5002209,Bonito,BONITO
5002308,Brasilândia,BRASILANDIA
5002407,Caarapó,CAARAPO
5002605,Camapuã,CAMAPUA
5002704,Campo Grande,CAMPO GRANDE
5002803,Caracol,CARACOL
5002902,Cassilândia,CASSILANDIA
5002951,Chapadão do Sul,CHAPADAO DO SUL
5003108,Corguinho,CORGUINHO
5003157,Coronel Sapucaia,CORONEL SAPUCAIA
5003207,Corumbá,CORUMBA
5003256,Costa Rica,COSTA RICA
5003306,Coxim,COXIM
5003454,Deodápolis,DEODAPOLIS
5003488,Dois Irmãos do Buriti,DOIS IRMAOS DO BURITI
5003504,Douradina,DOURADINA
5003702,Dourados,DOURADOS
5003751,Eldorado,ELDORADO
5003801,Fátima do Sul,FATIMA DO SUL
5003900,Figueirão,FIGUEIRAO
5004007,Glória de Dourados,GLORIA DE DOURADOS
5004106,Guia Lopes da Laguna,GUIA LOPES DA LAGUNA
5004304,Iguatemi,IGUATEMI
5004403,Inocência,INOCENCIA
5004502,Itaporã,ITAPORA
5004601,Itaquiraí,ITAQUIRAI
5004700,Ivinhema,IVINHEMA
5004809,Japorã,JAPORA
5004908,Jaraguari,JARAGUARI
5005004,Jardim,JARDIM
5005103,Jateí,JATEI
5005152,Juti,JUTI
5005202,Ladário,LADARIO
5005251,Laguna Carapã,LAGUNA CARAPA
5005400,Maracaju,MARACAJU
5005608,Miranda,MIRANDA
5005681,Mundo Novo,MUNDO NOVO
5005707,Naviraí,NAVIRAI
5005806,Nioaque,NIOAQUE
5006002,Nova Alvorada do Sul,NOVA ALVORADA DO SUL
5006200,Nova Andradina,NOVA ANDRADINA
5006259,Novo Horizonte do Sul,NOVO HORIZONTE DO SUL
5006275,Paraíso das Águas,PARAISO DAS AGUAS
5006309,Paranaíba,PARANAIBA
5006358,Paranhos,PARANHOS
5006408,Pedro Gomes,PEDRO GOMES
5006606,Ponta Porã,PONTA PORA
5006903,Porto Murtinho,PORTO MURTINHO
5007109,Ribas do Rio Pardo,RIBAS DO RIO PARDO
5007208,Rio Brilhante,RIO BRILHANTE
5007307,Rio Negro,RIO NEGRO
5007406,Rio Verde de Mato Grosso,RIO VERDE DE MATO GROSSO
