municipio_id,municipio_nome,municipio_nome_normalizado
4300034,Aceguá,ACEGUA
4300059,Água Santa,AGUA SANTA
4300109,Agudo,AGUDO
4300208,Ajuricaba,AJURICABA
4300307,Alecrim,ALECRIM
4300406,Alegrete,ALEGRETE
4300455,Alegria,ALEGRIA
4300471,Almirante Tamandaré do Sul,ALMIRANTE TAMANDARE DO SUL
4300505,Alpestre,ALPESTRE
4300554,Alto Alegre,ALTO ALEGRE
4300570,Alto Feliz,ALTO FELIZ
4300604,Alvorada,ALVORADA
4300638,Amaral Ferrador,AMARAL FERRADOR
4300646,Ametista do Sul,AMETISTA DO SUL
4300661,André da Rocha,ANDRE DA ROCHA
4300703,Anta Gorda,ANTA GORDA
4300802,Antônio Prado,ANTONIO PRADO
4300851,Arambaré,ARAMBARE
4300877,Araricá,ARARICA
4300901,Aratiba,ARATIBA
4301008,Arroio do Meio,ARROIO DO MEIO
4301057,Arroio do Sal,ARROIO DO SAL
4301073,Arroio do Padre,ARROIO DO PADRE
4301107,Arroio dos Ratos,ARROIO DOS RATOS
4301206,Arroio do Tigre,ARROIO DO TIGRE
4301305,Arroio Grande,ARROIO GRANDE
4301404,Arvorezinha,ARVOREZINHA
4301503,Augusto Pestana,AUGUSTO PESTANA
4301552,Áurea,AUREA
4301602,Bagé,BAGE
4301636,Balneário Pinhal,BALNEARIO PINHAL
4301651,Barão,BARAO
4301701,Barão de Cotegipe,BARAO DE COTEGIPE
4301750,Barão do Triunfo,BARAO DO TRIUNFO
4301800,Barracão,BARRACAO
4301859,Barra do Guarita,BARRA DO GUARITA
4301875,Barra do Quaraí,BARRA DO QUARAI
4301909,Barra do Ribeiro,BARRA DO RIBEIRO
4301925,Barra do Rio Azul,BARRA DO RIO AZUL
4301958,Barra Funda,BARRA FUNDA
4302006,Barros Cassal,BARROS CASSAL
4302055,Benjamin Constant do Sul,BENJAMIN CONSTANT DO SUL
4302105,Bento Gonçalves,BENTO GONCALVES
4302154,Boa Vista das Missões,BOA VISTA DAS MISSOES
