fonte,url,metodo,parametros,n_linhas,arquivo_bruto,coletado_em
IBGE Localidades — AM,https://servicodados.ibge.gov.br/api/v1/localidades/estados/13/municipios,"API REST (GET, JSON)","{""uf"": 13}",62,dados_brutos/ibge_localidades_AM.json,2026-09-17T16:03:30+00:00
IBGE Localidades — RS,https://servicodados.ibge.gov.br/api/v1/localidades/estados/43/municipios,"API REST (GET, JSON)","{""uf"": 43}",497,dados_brutos/ibge_localidades_RS.json,2026-09-17T16:03:30+00:00
IBGE Localidades — CO_51,https://servicodados.ibge.gov.br/api/v1/localidades/estados/51/municipios,"API REST (GET, JSON)","{""uf"": 51}",142,dados_brutos/ibge_localidades_CO_51.json,2026-09-17T16:03:31+00:00
IBGE Localidades — CO_52,https://servicodados.ibge.gov.br/api/v1/localidades/estados/52/municipios,"API REST (GET, JSON)","{""uf"": 52}",246,dados_brutos/ibge_localidades_CO_52.json,2026-09-17T16:03:32+00:00
IBGE Localidades — CO_53,https://servicodados.ibge.gov.br/api/v1/localidades/estados/53/municipios,"API REST (GET, JSON)","{""uf"": 53}",1,dados_brutos/ibge_localidades_CO_53.json,2026-09-17T16:03:32+00:00
IBGE Localidades — AM,https://servicodados.ibge.gov.br/api/v1/localidades/estados/13/municipios,"API REST (GET, JSON)","{""uf"": 13}",62,dados_brutos/ibge_localidades_AM.json,2026-09-17T20:20:22+00:00
IBGE Localidades — RS,https://servicodados.ibge.gov.br/api/v1/localidades/estados/43/municipios,"API REST (GET, JSON)","{""uf"": 43}",497,dados_brutos/ibge_localidades_RS.json,2026-09-17T20:20:22+00:00
IBGE Localidades — CO_51,https://servicodados.ibge.gov.br/api/v1/localidades/estados/51/municipios,"API REST (GET, JSON)","{""uf"": 51}",142,dados_brutos/ibge_localidades_CO_51.json,2026-09-17T20:20:23+00:00
IBGE Localidades — CO_52,https://servicodados.ibge.gov.br/api/v1/localidades/estados/52/municipios,"API REST (GET, JSON)","{""uf"": 52}",246,dados_brutos/ibge_localidades_CO_52.json,2026-09-17T20:20:23+00:00
IBGE Localidades — CO_53,https://servicodados.ibge.gov.br/api/v1/localidades/estados/53/municipios,"API REST (GET, JSON)","{""uf"": 53}",1,dados_brutos/ibge_localidades_CO_53.json,2026-09-17T20:20:24+00:00
IBGE SIDRA — Taxa de desocupação (tab. 4099),"https://servicodados.ibge.gov.br/api/v3/agregados/4099/periodos/202301-202404/variaveis/4099?localidades=N3%5B13,43,51,52,53%5D","API REST (GET, JSON)","{""agregado"": 4099, ""periodo"": ""202301-202404""}",1,dados_brutos/ibge_desemprego_ufs.json,2026-09-17T20:21:33+00:00
