fonte,url,data_hora_coleta_utc,metodo,parametros,observacao,arquivo_bruto,sha256
robots.txt de www.climatempo.com.br,https://www.climatempo.com.br/robots.txt,2026-09-19T20:55:14+00:00,GET (requests + urllib.robotparser),"{""user_agent"": ""TesteAcademico""}",status=ok; HTTP 200,,
robots.txt de ihu.unisinos.br,https://ihu.unisinos.br/robots.txt,2026-09-19T20:55:15+00:00,GET (requests + urllib.robotparser),"{""user_agent"": ""TesteAcademico""}",status=ok; HTTP 200,,
robots.txt de www.poder360.com.br,https://www.poder360.com.br/robots.txt,2026-09-19T20:55:15+00:00,GET (requests + urllib.robotparser),"{""user_agent"": ""TesteAcademico""}",status=ok; HTTP 200,,
robots.txt de sbtnews.sbt.com.br,https://sbtnews.sbt.com.br/robots.txt,2026-09-19T20:55:16+00:00,GET (requests + urllib.robotparser),"{""user_agent"": ""TesteAcademico""}",status=ok; HTTP 200,,
Climatempo,https://www.climatempo.com.br/noticia/2024/08/16/com-41dc-cuiaba-registra-novo-recorde-de-calor-6038,2026-09-19T20:55:16+00:00,GET (requests + BeautifulSoup),"{""headers"": ""User-Agent customizado"", ""timeout"": 20}",HTTP 200,./dados_brutos/scraping_ondacalor/2024-08-15_com_41dc_cuiaba_registra_novo_recorde_de_calor_6038.html,eed225840abfbb11d783c2e610faa7323dd63ebb368ab1a38b1b80c1960e8771
IHU/ClimaInfo,https://ihu.unisinos.br/642521-clima-extremo-nova-onda-de-calor-no-brasil-pode-trazer-recordes-de-temperatura-em-agosto,2026-09-19T20:55:20+00:00,GET (requests + BeautifulSoup),"{""headers"": ""User-Agent customizado"", ""timeout"": 20}",HTTP 200,./dados_brutos/scraping_ondacalor/2024-08-19_642521_clima_extremo_nova_onda_de_calor_no_brasil_pode_trazer_recordes_de_temper.html,8a0a24d5f3fb0a32b7da1f98478ad01bf45aa822d79ebfb2a3332b9113174fa0
Climatempo,https://www.climatempo.com.br/noticia/2024/08/22/cuiaba-sete-dias-consecutivos-com-mais-de-40dc-6108,2026-09-19T20:55:22+00:00,GET (requests + BeautifulSoup),"{""headers"": ""User-Agent customizado"", ""timeout"": 20}",HTTP 200,./dados_brutos/scraping_ondacalor/2024-08-21_cuiaba_sete_dias_consecutivos_com_mais_de_40dc_6108.html,fab305576856ff2e1a0bf5d6aae6653be0267de01244fae7f67571c22461635b
Climatempo,https://www.climatempo.com.br/noticia/2024/08/29/agosto-termina-com-mais-de-40dc-no-brasil-6213,2026-09-19T20:55:24+00:00,GET (requests + BeautifulSoup),"{""headers"": ""User-Agent customizado"", ""timeout"": 20}",HTTP 200,./dados_brutos/scraping_ondacalor/2024-08-29_agosto_termina_com_mais_de_40dc_no_brasil_6213.html,5f800ce4fafb28da0a1f1cb16c7e0778dbc9e8a2604c277b2520fe70700bd216
Poder360,https://www.poder360.com.br/brasil/brasil-tem-agosto-com-maior-numero-de-queimadas-desde-2010/,2026-09-19T20:55:26+00:00,GET (requests),{},ERRO: 403 Client Error: Forbidden for url: https://www.poder360.com.br/brasil/brasil-tem-agosto-com-maior-numero-de-queimadas-desde-2010/,,
Climatempo,https://www.climatempo.com.br/noticia/2024/09/04/calor-acima-dos-40dc-e-umidade-abaixo-de-10-no-brasil-6269,2026-09-19T20:55:28+00:00,GET (requests + BeautifulSoup),"{""headers"": ""User-Agent customizado"", ""timeout"": 20}",HTTP 200,./dados_brutos/scraping_ondacalor/2024-09-03_calor_acima_dos_40dc_e_umidade_abaixo_de_10_no_brasil_6269.html,1140a3b8ea304b584d07a3d3db580e7cdf0c7e7da6c4270f95f18bb4df35f1ad
